azimuth,elevation,port 1_bits,port 2_bits,port 3_bits,port 4_bits,port 5_bits,port 6_bits,port 7_bits,port 8_bits,port 9_bits,port 10_bits,port 11_bits,port 12_bits,port 13_bits,port 14_bits,port 15_bits,port 16_bits,port 17_bits,port 18_bits,port 19_bits,port 20_bits,port 21_bits,port 22_bits,port 23_bits,port 24_bits,port 25_bits
-25,-25,'000100,'011010,'001001,'100011,'111111,'101110,'110101,'100111,'111000,'001010,'001001,'010011,'000000,'011100,'001110,'100111,'111000,'101010,'110001,'100011,'100000,'111100,'001110,'010101,'000111
-25,-20,'101100,'110110,'100101,'111011,'011000,'111110,'101101,'001111,'010100,'000110,'110001,'010011,'000000,'011100,'101110,'011011,'001000,'110010,'100001,'111101,'010111,'100100,'111010,'101001,'110011
-25,-15,'100010,'000001,'111101,'101111,'001100,'100001,'000011,'111111,'101100,'001110,'110001,'100011,'000000,'111100,'101110,'110011,'100000,'000010,'111110,'101101,'001011,'110000,'100010,'000001,'111101
-25,-10,'011010,'101001,'001011,'110000,'010010,'001001,'110011,'010000,'100010,'000001,'010001,'100011,'000000,'111100,'011110,'111101,'011111,'101100,'001110,'110101,'011101,'101111,'001100,'110110,'010101
-25,-5,'001110,'110101,'010111,'100100,'000110,'011001,'011011,'101000,'001010,'110001,'010001,'100011,'000000,'111100,'011110,'001101,'110111,'010100,'010110,'100101,'000101,'111011,'011000,'101010,'001001
-25,0,'010001,'100011,'000000,'111100,'011110,'100101,'000111,'000100,'111010,'011001,'010001,'100011,'000000,'111100,'011110,'100101,'000111,'000100,'111010,'011001,'010001,'100011,'000000,'111100,'011110
-25,5,'000101,'111011,'011000,'101010,'001001,'001101,'110111,'010100,'010110,'100101,'010001,'100011,'000000,'111100,'011110,'011001,'011011,'101000,'001010,'110001,'001110,'110101,'010111,'100100,'000110
-25,10,'011101,'101111,'001100,'110110,'010101,'111101,'011111,'101100,'001110,'110101,'010001,'100011,'000000,'111100,'011110,'001001,'110011,'010000,'100010,'000001,'011010,'101001,'001011,'110000,'010010
-25,15,'001011,'110000,'100010,'000001,'111101,'110011,'100000,'000010,'111110,'101101,'110001,'100011,'000000,'111100,'101110,'100001,'000011,'111111,'101100,'001110,'100010,'000001,'111101,'101111,'001100
-25,20,'010111,'100100,'111010,'101001,'110011,'011011,'001000,'110010,'100001,'111101,'110001,'010011,'000000,'011100,'101110,'111110,'101101,'001111,'010100,'000110,'101100,'110110,'100101,'111011,'011000
-25,25,'100000,'111100,'001110,'010101,'000111,'100111,'111000,'101010,'110001,'100011,'001001,'010011,'000000,'011100,'001110,'101110,'110101,'100111,'111000,'001010,'000100,'011010,'001001,'100011,'111111
-25,30,'111000,'001010,'100001,'111101,'001111,'101111,'010100,'111010,'001001,'010011,'011001,'110011,'000000,'101100,'010110,'001110,'100101,'011011,'110000,'000010,'001000,'100010,'111110,'001101,'100111
-25,35,'101100,'010110,'011001,'110011,'111111,'100000,'101100,'100110,'011001,'010011,'111001,'001011,'000000,'001100,'100110,'010110,'111001,'110011,'111111,'001100,'100000,'101100,'010110,'011001,'110011
-25,40,'001010,'111110,'110101,'111011,'010000,'001000,'000010,'110110,'111001,'110011,'100101,'001011,'000000,'001100,'111010,'100110,'101001,'000011,'001111,'000100,'011111,'100100,'101010,'100001,'001101
-25,45,'010110,'101001,'111101,'010111,'101000,'000100,'010010,'101110,'000101,'110011,'010101,'101011,'000000,'110100,'011010,'000110,'110001,'011101,'000111,'110000,'110111,'011000,'100010,'110110,'011001
-25,50,'000001,'100101,'110011,'101111,'111000,'110100,'101010,'111110,'000101,'010011,'001101,'011011,'000000,'010100,'001010,'000110,'100001,'110101,'101011,'111111,'100111,'110000,'101100,'111010,'000001
-20,-50,'101111,'101000,'101100,'101010,'101110,'110110,'010001,'010101,'010011,'010111,'000011,'000111,'000000,'000100,'000010,'011100,'011010,'011110,'101001,'101101,'110001,'110101,'110011,'110111,'110000
-20,-45,'111111,'000100,'100010,'100110,'010001,'110110,'001001,'101101,'101011,'011111,'111101,'111011,'000000,'100100,'100010,'110100,'110010,'001110,'101001,'101101,'011110,'111001,'111101,'000111,'100000
-20,-40,'010000,'001100,'101010,'011110,'000101,'001110,'011001,'111101,'100111,'010000,'101101,'111011,'000000,'100100,'110010,'111000,'100010,'010110,'001001,'101101,'000110,'010001,'110101,'001011,'011111
-20,-35,'101000,'000010,'010110,'001001,'011101,'011110,'000101,'010011,'001111,'011000,'001101,'011011,'000000,'010100,'001010,'001000,'011100,'000110,'010001,'001101,'010010,'001110,'011001,'000011,'110111
-20,-30,'100100,'001010,'111110,'100101,'001011,'111110,'010101,'101011,'111111,'010100,'110101,'101011,'000000,'110100,'101010,'100000,'110100,'011010,'100001,'110101,'001100,'111010,'100001,'001101,'111011
-20,-25,'101100,'100110,'001001,'111101,'010111,'100001,'001101,'111011,'110000,'011100,'010101,'101011,'000000,'110100,'011010,'101111,'100100,'001010,'111110,'010101,'011000,'100010,'001110,'111001,'110011
-20,-20,'010010,'011110,'100101,'101011,'000000,'110001,'111101,'010111,'011000,'100010,'100101,'001011,'000000,'001100,'111010,'010111,'011000,'100010,'101110,'000101,'000000,'110100,'111010,'010001,'011101
-20,-15,'111010,'110001,'111101,'110111,'011000,'011001,'100011,'101111,'100100,'101010,'000101,'001011,'000000,'001100,'000110,'111011,'110000,'111100,'010110,'011001,'010111,'101000,'100010,'101110,'100101
-20,-10,'001110,'000101,'001011,'000000,'101100,'000101,'001011,'000000,'001100,'000110,'000101,'001011,'000000,'001100,'000110,'001011,'000000,'001100,'000110,'001001,'110011,'000000,'001100,'000110,'001001
-20,-5,'010001,'011101,'010111,'011000,'110010,'110101,'111011,'110000,'111100,'001110,'111001,'001011,'000000,'001100,'100110,'100011,'101111,'100100,'101010,'010001,'101101,'010111,'011000,'010010,'011110
-20,0,'111001,'001011,'000000,'001100,'100110,'011101,'010111,'011000,'010010,'111110,'111001,'001011,'000000,'001100,'100110,'011101,'010111,'011000,'010010,'111110,'111001,'001011,'000000,'001100,'100110
-20,5,'101101,'010111,'011000,'010010,'011110,'100011,'101111,'100100,'101010,'010001,'111001,'001011,'000000,'001100,'100110,'110101,'111011,'110000,'111100,'001110,'010001,'011101,'010111,'011000,'110010
-20,10,'110011,'000000,'001100,'000110,'001001,'001011,'000000,'001100,'000110,'001001,'000101,'001011,'000000,'001100,'000110,'000101,'001011,'000000,'001100,'000110,'001110,'000101,'001011,'000000,'101100
-20,15,'010111,'101000,'100010,'101110,'100101,'111011,'110000,'111100,'010110,'011001,'000101,'001011,'000000,'001100,'000110,'011001,'100011,'101111,'100100,'101010,'111010,'110001,'111101,'110111,'011000
-20,20,'000000,'110100,'111010,'010001,'011101,'010111,'011000,'100010,'101110,'000101,'100101,'001011,'000000,'001100,'111010,'110001,'111101,'010111,'011000,'100010,'010010,'011110,'100101,'101011,'000000
-20,25,'011000,'100010,'001110,'111001,'110011,'101111,'100100,'001010,'111110,'010101,'010101,'101011,'000000,'110100,'011010,'100001,'001101,'111011,'110000,'011100,'101100,'100110,'001001,'111101,'010111
-20,30,'001100,'111010,'100001,'001101,'111011,'100000,'110100,'011010,'100001,'110101,'110101,'101011,'000000,'110100,'101010,'111110,'010101,'101011,'111111,'010100,'100100,'001010,'111110,'100101,'001011
-20,35,'010010,'001110,'011001,'000011,'110111,'001000,'011100,'000110,'010001,'001101,'001101,'011011,'000000,'010100,'001010,'011110,'000101,'010011,'001111,'011000,'101000,'000010,'010110,'001001,'011101
-20,40,'000110,'010001,'110101,'001011,'011111,'111000,'100010,'010110,'001001,'101101,'101101,'111011,'000000,'100100,'110010,'001110,'011001,'111101,'100111,'010000,'010000,'001100,'101010,'011110,'000101
-20,45,'011110,'111001,'111101,'000111,'100000,'110100,'110010,'001110,'101001,'101101,'111101,'111011,'000000,'100100,'100010,'110110,'001001,'101101,'101011,'011111,'111111,'000100,'100010,'100110,'010001
-20,50,'110001,'110101,'110011,'110111,'110000,'011100,'011010,'011110,'101001,'101101,'000011,'000111,'000000,'000100,'000010,'110110,'010001,'010101,'010011,'010111,'101111,'101000,'101100,'101010,'101110
-15,-50,'100000,'111000,'101100,'110010,'100110,'101110,'110001,'100101,'111101,'101011,'001011,'010111,'000000,'011000,'001100,'100010,'111010,'101110,'110001,'100101,'111001,'101101,'110011,'100111,'111111
-15,-45,'001000,'010100,'100010,'111010,'011110,'011110,'101001,'001101,'010011,'100111,'110011,'100111,'000000,'111000,'101100,'011100,'001010,'110110,'010001,'000101,'010001,'100101,'111101,'011011,'001111
-15,-40,'111000,'011100,'101010,'001110,'110001,'000001,'111001,'011101,'101011,'001111,'010011,'100111,'000000,'111000,'011100,'110100,'010010,'100110,'000001,'111001,'101110,'001001,'110101,'010011,'100111
-15,-35,'010100,'010010,'010110,'100001,'100101,'100001,'100101,'100011,'000111,'000000,'100011,'000111,'000000,'000100,'111100,'000100,'111100,'111010,'111110,'011001,'111010,'111110,'011001,'011101,'011011
-15,-30,'011100,'011010,'111110,'111001,'111101,'110001,'110101,'110011,'110111,'110000,'000011,'000111,'000000,'000100,'000010,'101000,'101100,'101010,'101110,'101001,'100010,'100110,'100001,'010101,'010011
